,a,b,c,d,e,f,g,h,i,j,k,l,m,n
938,BDCQ.SEA1GS,2013.03,179362.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Seasonally adjusted,,
939,BDCQ.SEA1GS,2013.06,179944.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Seasonally adjusted,,
940,BDCQ.SEA1GS,2013.09,178790.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Seasonally adjusted,,
941,BDCQ.SEA1GS,2013.12,181266.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Seasonally adjusted,,
942,BDCQ.SEA1GS,2014.03,180364.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Seasonally adjusted,,
943,BDCQ.SEA1GS,2014.06,180940.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Seasonally adjusted,,
944,BDCQ.SEA1GS,2014.09,181995.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Seasonally adjusted,,
945,BDCQ.SEA1GS,2014.12,182939.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Seasonally adjusted,,
946,BDCQ.SEA1GS,2015.03,184290.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Seasonally adjusted,,
947,BDCQ.SEA1GS,2015.06,185179.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Seasonally adjusted,,
948,BDCQ.SEA1GS,2015.09,186298.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Seasonally adjusted,,
949,BDCQ.SEA1GS,2015.12,187332.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Seasonally adjusted,,
950,BDCQ.SEA1GS,2016.03,189210.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Seasonally adjusted,,
951,BDCQ.SEA1GS,2016.06,190790.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Seasonally adjusted,,
952,BDCQ.SEA1GS,2016.09,192119.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Seasonally adjusted,,
953,BDCQ.SEA1GS,2016.12,193342.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Seasonally adjusted,,
954,BDCQ.SEA1GS,2017.03,195234.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Seasonally adjusted,,
955,BDCQ.SEA1GS,2017.06,196161.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Seasonally adjusted,,
956,BDCQ.SEA1GS,2017.09,197157.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Seasonally adjusted,,
957,BDCQ.SEA1GS,2017.12,197009.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Seasonally adjusted,,
958,BDCQ.SEA1GS,2018.03,197311.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Seasonally adjusted,,
959,BDCQ.SEA1GS,2018.06,197988.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Seasonally adjusted,,
960,BDCQ.SEA1GS,2018.09,197745.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Seasonally adjusted,,
961,BDCQ.SEA1GS,2018.12,198720.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Seasonally adjusted,,
962,BDCQ.SEA1GS,2019.03,198840.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Seasonally adjusted,,
963,BDCQ.SEA1GS,2019.06,199538.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Seasonally adjusted,,
964,BDCQ.SEA1GS,2019.09,200963.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Seasonally adjusted,,
965,BDCQ.SEA1GS,2019.12,202378.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Seasonally adjusted,,
966,BDCQ.SEA1GS,2020.03,202401.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Seasonally adjusted,,
967,BDCQ.SEA1GS,2020.06,202655.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Seasonally adjusted,,
968,BDCQ.SEA1GS,2020.09,201365.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Seasonally adjusted,,
969,BDCQ.SEA1GS,2020.12,199693.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Seasonally adjusted,,
970,BDCQ.SEA1GS,2021.03,200765.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Seasonally adjusted,,
971,BDCQ.SEA1GS,2021.06,202491.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Seasonally adjusted,,
972,BDCQ.SEA1GS,2021.09,204982.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Seasonally adjusted,,
973,BDCQ.SEA1GS,2021.12,207524.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Seasonally adjusted,,
974,BDCQ.SEA1GS,2022.03,208167.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Seasonally adjusted,,
975,BDCQ.SEA1GS,2022.06,208202.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Seasonally adjusted,,
976,BDCQ.SEA1GS,2022.09,209612.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Seasonally adjusted,,
977,BDCQ.SEA1GS,2022.12,210050.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Seasonally adjusted,,
978,BDCQ.SEA1GS,2023.03,210616.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Seasonally adjusted,,
979,BDCQ.SEA1GS,2023.06,212327.0,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Seasonally adjusted,,
980,BDCQ.SEA1GT,2011.06,175098.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
981,BDCQ.SEA1GT,2011.09,176649.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
982,BDCQ.SEA1GT,2011.12,177600.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
983,BDCQ.SEA1GT,2012.03,178065.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
984,BDCQ.SEA1GT,2012.06,178676.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
985,BDCQ.SEA1GT,2012.09,178987.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
986,BDCQ.SEA1GT,2012.12,179162.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
987,BDCQ.SEA1GT,2013.03,179506.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
988,BDCQ.SEA1GT,2013.06,179728.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
989,BDCQ.SEA1GT,2013.09,180066.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
990,BDCQ.SEA1GT,2013.12,180326.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
991,BDCQ.SEA1GT,2014.03,180531.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
992,BDCQ.SEA1GT,2014.06,180958.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
993,BDCQ.SEA1GT,2014.09,181914.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
994,BDCQ.SEA1GT,2014.12,183041.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
995,BDCQ.SEA1GT,2015.03,184175.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
996,BDCQ.SEA1GT,2015.06,185253.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
997,BDCQ.SEA1GT,2015.09,186206.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
998,BDCQ.SEA1GT,2015.12,187484.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
999,BDCQ.SEA1GT,2016.03,189123.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
1000,BDCQ.SEA1GT,2016.06,190783.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
1001,BDCQ.SEA1GT,2016.09,192073.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
1002,BDCQ.SEA1GT,2016.12,193519.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
1003,BDCQ.SEA1GT,2017.03,195038.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
1004,BDCQ.SEA1GT,2017.06,196326.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
1005,BDCQ.SEA1GT,2017.09,196951.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
1006,BDCQ.SEA1GT,2017.12,197132.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
1007,BDCQ.SEA1GT,2018.03,197401.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
1008,BDCQ.SEA1GT,2018.06,197736.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
1009,BDCQ.SEA1GT,2018.09,198054.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
1010,BDCQ.SEA1GT,2018.12,198462.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
1011,BDCQ.SEA1GT,2019.03,198934.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
1012,BDCQ.SEA1GT,2019.06,199603.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
1013,BDCQ.SEA1GT,2019.09,201010.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
1014,BDCQ.SEA1GT,2019.12,202157.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
1015,BDCQ.SEA1GT,2020.03,202651.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
1016,BDCQ.SEA1GT,2020.06,202439.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
1017,BDCQ.SEA1GT,2020.09,201221.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
1018,BDCQ.SEA1GT,2020.12,200076.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
1019,BDCQ.SEA1GT,2021.03,200603.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
1020,BDCQ.SEA1GT,2021.06,202551.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
1021,BDCQ.SEA1GT,2021.09,205072.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
1022,BDCQ.SEA1GT,2021.12,207275.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
1023,BDCQ.SEA1GT,2022.03,208158.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
1024,BDCQ.SEA1GT,2022.06,208600.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
1025,BDCQ.SEA1GT,2022.09,209401.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
1026,BDCQ.SEA1GT,2022.12,210046.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
1027,BDCQ.SEA1GT,2023.03,210848.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
1028,BDCQ.SEA1GT,2023.06,212091.0,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Retail Trade,Trend,,
1029,BDCQ.SEA1HA,2011.06,103801.0,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1030,BDCQ.SEA1HA,2011.09,107456.0,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1031,BDCQ.SEA1HA,2011.12,110973.0,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1032,BDCQ.SEA1HA,2012.03,110305.0,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1033,BDCQ.SEA1HA,2012.06,107976.0,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1034,BDCQ.SEA1HA,2012.09,107651.0,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1035,BDCQ.SEA1HA,2012.12,111647.0,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1036,BDCQ.SEA1HA,2013.03,112218.0,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1037,BDCQ.SEA1HA,2013.06,111183.0,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1038,BDCQ.SEA1HA,2013.09,110574.0,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1039,BDCQ.SEA1HA,2013.12,115148.0,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1040,BDCQ.SEA1HA,2014.03,116013.0,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1041,BDCQ.SEA1HA,2014.06,113997.0,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1042,BDCQ.SEA1HA,2014.09,113381.0,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1043,BDCQ.SEA1HA,2014.12,119580.0,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1044,BDCQ.SEA1HA,2015.03,120452.0,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1045,BDCQ.SEA1HA,2015.06,120660.0,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1046,BDCQ.SEA1HA,2015.09,119106.0,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1047,BDCQ.SEA1HA,2015.12,124802.0,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1048,BDCQ.SEA1HA,2016.03,127872.0,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1049,BDCQ.SEA1HA,2016.06,127744.0,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1050,BDCQ.SEA1HA,2016.09,128360.0,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1051,BDCQ.SEA1HA,2016.12,134631.0,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1052,BDCQ.SEA1HA,2017.03,137104.0,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1053,BDCQ.SEA1HA,2017.06,136444.0,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1054,BDCQ.SEA1HA,2017.09,134081.0,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1055,BDCQ.SEA1HA,2017.12,139394.0,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1056,BDCQ.SEA1HA,2018.03,140352.0,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1057,BDCQ.SEA1HA,2018.06,139249.0,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1058,BDCQ.SEA1HA,2018.09,135443.0,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1059,BDCQ.SEA1HA,2018.12,142465.0,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1060,BDCQ.SEA1HA,2019.03,144366.0,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1061,BDCQ.SEA1HA,2019.06,142506.0,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1062,BDCQ.SEA1HA,2019.09,140421.0,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1063,BDCQ.SEA1HA,2019.12,147093.0,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1064,BDCQ.SEA1HA,2020.03,145422.0,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1065,BDCQ.SEA1HA,2020.06,140969.0,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1066,BDCQ.SEA1HA,2020.09,139176.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1067,BDCQ.SEA1HA,2020.12,139176.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1068,BDCQ.SEA1HA,2021.03,138632.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1069,BDCQ.SEA1HA,2021.06,140234.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1070,BDCQ.SEA1HA,2021.09,143141.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1071,BDCQ.SEA1HA,2021.12,144782.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1072,BDCQ.SEA1HA,2022.03,137070.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1073,BDCQ.SEA1HA,2022.06,136958.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1074,BDCQ.SEA1HA,2022.09,141259.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1075,BDCQ.SEA1HA,2022.12,147748.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1076,BDCQ.SEA1HA,2023.03,149266.0,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1077,BDCQ.SEA1HA,2023.06,151763.0,,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Actual,,
1078,BDCQ.SEA1HS,2011.06,104877.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted,,
1079,BDCQ.SEA1HS,2011.09,109449.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted,,
1080,BDCQ.SEA1HS,2011.12,109270.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted,,
1081,BDCQ.SEA1HS,2012.03,108938.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted,,
1082,BDCQ.SEA1HS,2012.06,109004.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted,,
1083,BDCQ.SEA1HS,2012.09,109707.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted,,
1084,BDCQ.SEA1HS,2012.12,109982.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted,,
1085,BDCQ.SEA1HS,2013.03,110836.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted,,
1086,BDCQ.SEA1HS,2013.06,112028.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted,,
1087,BDCQ.SEA1HS,2013.09,112840.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted,,
1088,BDCQ.SEA1HS,2013.12,113532.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted,,
1089,BDCQ.SEA1HS,2014.03,114533.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted,,
1090,BDCQ.SEA1HS,2014.06,114655.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted,,
1091,BDCQ.SEA1HS,2014.09,115844.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted,,
1092,BDCQ.SEA1HS,2014.12,118026.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted,,
1093,BDCQ.SEA1HS,2015.03,118898.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted,,
1094,BDCQ.SEA1HS,2015.06,121108.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted,,
1095,BDCQ.SEA1HS,2015.09,121804.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted,,
1096,BDCQ.SEA1HS,2015.12,123354.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted,,
1097,BDCQ.SEA1HS,2016.03,126120.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted,,
1098,BDCQ.SEA1HS,2016.06,128108.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted,,
1099,BDCQ.SEA1HS,2016.09,131326.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted,,
1100,BDCQ.SEA1HS,2016.12,133147.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted,,
1101,BDCQ.SEA1HS,2017.03,135209.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted,,
1102,BDCQ.SEA1HS,2017.06,136749.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted,,
1103,BDCQ.SEA1HS,2017.09,137281.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted,,
1104,BDCQ.SEA1HS,2017.12,137721.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted,,
1105,BDCQ.SEA1HS,2018.03,138463.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted,,
1106,BDCQ.SEA1HS,2018.06,139754.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted,,
1107,BDCQ.SEA1HS,2018.09,138578.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted,,
1108,BDCQ.SEA1HS,2018.12,140363.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted,,
1109,BDCQ.SEA1HS,2019.03,142790.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted,,
1110,BDCQ.SEA1HS,2019.06,143412.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted,,
1111,BDCQ.SEA1HS,2019.09,143179.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted,,
1112,BDCQ.SEA1HS,2019.12,144443.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted,,
1113,BDCQ.SEA1HS,2020.03,144484.0,,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Accommodation and Food Services,Seasonally adjusted,,
